id,name,unit_name,emptyspace,fakerank
96605,F20:1CIS,MG,,63001
96606,F20:1CN11,MG,,63001
96607,F20:1CN9,MG,,63001
96608,F20:1TRS,MG,,63001
96609,F20:2CN6,MG,,63001
96610,F20:2TT,MG,,63001
96611,F20:3CN3,MG,,63001
96612,F20:3CN6,MG,,63001
96613,F20:3CN9,MG,,63001
96614,F20:4CN3,MG,,63001
96615,F20:4CN6,MG,,63001
96616,F20:5CN3,MG,,63001
96617,F20D0,MG,,63001
96618,F20D1,MG,,63001
96619,F20D1C,MG,,63001
96620,F20D1CN11,MG,,63001
96621,F20D1CN9,MG,,63001
96622,F20D1N11,MG,,63001
96623,F20D1N11_A_F20D1N13,MG,,63001
96624,F20D1N12,MG,,63001
96625,F20D1N7,MG,,63001
96626,F20D1N7_A_F20D1N9,MG,,63001
96627,F20D1N8,MG,,63001
96628,F20D1N9,MG,,63001
96629,F20D1N9_A_F20D1N11,MG,,63001
96630,F20D1T,MG,,63001
96631,F20D2,MG,,63001
96632,F20D2C,MG,,63001
96633,F20D2CN6,MG,,63001
96634,F20D2N6,MG,,63001
96635,F20D2N9,MG,,63001
96636,F20D3,MG,,63001
96637,F20D3N3,MG,,63001
96638,F20D3N3_A_F20D4N6,MG,,63001
96639,F20D3N6,MG,,63001
96640,F20D3N9,MG,,63001
96641,F20D4,MG,,63001
96642,F20D4CN6,MG,,63001
96643,F20D4N3,MG,,63001
96644,F20D4N6,MG,,63001
96645,F20D4N6_A_F22D1,MG,,63001
96646,F20D5,MG,,63001
96647,F20D5CN3,MG,,63001
96648,F20D5N3,MG,,63001
96649,F21:0,MG,,63001
96650,F21:5CN3,MG,,63001
96651,F21D0,MG,,63001
96652,F21D5N3,MG,,63001
96653,F22:0,MG,,63001
96654,F22:1CIS,MG,,63001
96655,F22:1CN11,MG,,63001
96656,F22:1CN9,MG,,63001
96657,F22:1TRS,MG,,63001
96658,F22:2CN3,MG,,63001
96659,F22:2CN6,MG,,63001
96660,F22:3CN3,MG,,63001
96661,F22:4CN6,MG,,63001
96662,F22:5CN3,MG,,63001
96663,F22:5CN6,MG,,63001
96664,F22:5N6,MG,,63001
96665,F22:6CN3,MG,,63001
96666,F22D0,MG,,63001
96667,F22D1,MG,,63001
96668,F22D1C,MG,,63001
96669,F22D1N11,MG,,63001
96670,F22D1N11_A_F22D1N13,MG,,63001
96671,F22D1N7,MG,,63001
96672,F22D1N9,MG,,63001
96673,F22D1N9_A_F22D1N11,MG,,63001
96674,F22D1T,MG,,63001
96675,F22D2,MG,,63001
96676,F22D2C,MG,,63001
96677,F22D2CN6,MG,,63001
96678,F22D2N6,MG,,63001
96679,F22D2N6.1,MG,,63001
96680,F22D2N9,MG,,63001
96681,F22D3N3,MG,,63001
96682,F22D3N6,MG,,63001
96683,F22D4,MG,,63001
96684,F22D4N3,MG,,63001
96685,F22D4N6,MG,,63001
96686,F22D4N9,MG,,63001
96687,F22D5,MG,,63001
96688,F22D5N3,MG,,63001
96689,F22D5N6,MG,,63001
96690,F22D6,MG,,63001
96691,F22D6CN3,MG,,63001
96692,F22D6N3,MG,,63001
96693,F22D6N6,MG,,63001
96694,F23:0,MG,,63001
96695,F23D0,MG,,63001
96696,F24:0,MG,,63001
96697,F24:1CIS,MG,,63001
96698,F24:1CN9,MG,,63001
96699,F24:1TRS,MG,,63001
96700,F24:2CN6,MG,,63001
96701,F24D0,MG,,63001
96702,F24D1,MG,,63001
96703,F24D1C,MG,,63001
96704,F24D1CN9,MG,,63001
96705,F24D1N11,MG,,63001
96706,F24D1N9,MG,,63001
96707,F24D6N3,MG,,63001
96708,F25:0,MG,,63001
96709,F26:0,MG,,63001
96710,F26D0,MG,,63001
96711,F30D0,MG,,63001
96712,F4:0,MG,,63001
96713,F4D0,MG,,63001
96714,F6:0,MG,,63001
96715,F6D0,MG,,63001
96716,F8:0,MG,,63001
96717,F8D0,MG,,63001
96718,FA 10:0,MG,,63001
96719,FA 12:0,MG,,63001
96720,FA 14:0,MG,,63001
96721,FA 16:0,MG,,63001
96722,FA 18:0,MG,,63001
96723,FA 18:1 n-9 cis,MG,,63001
96724,"FA 18:2 9c,12c (n-6)",MG,,63001
96725,"FA 18:3 c9,c12,c15 (n-3)",MG,,63001
96726,"FA 20:4 5c,8c,11c,14c (n-6)",MG,,63001
96727,FA 4:0,MG,,63001
96728,FA 6:0,MG,,63001
96729,FA 8:0,MG,,63001
96730,FA mono,MG,,63001
96731,FA poly,MG,,63001
96732,FA saturated,MG,,63001
96733,FACF,MG,,63001
96734,FAESS,MG,,63001
96735,FAFRE,MG,,63001
96736,Faktorer m.m.,MG,,63001
96737,FAMS,MG,,63001
96738,FAMSCIS,MG,,63001
96739,FAMSCXR,MG,,63001
96740,FAMSTXR,MG,,63001
96741,FAN3,MG,,63001
96742,FAN6,MG,,63001
96743,FAN9,MG,,63001
96744,FAPU,MG,,63001
96745,FAPUCN3,MG,,63001
96746,FAPUCN6,MG,,63001
