id,name,unit_name,source
99295,F23D0(g),MG,BioFoodComp4.0.xlsx
99296,F24D0(g),MG,BioFoodComp4.0.xlsx
99297,F24D1(g),MG,BioFoodComp4.0.xlsx
99298,F24D1C(g),MG,BioFoodComp4.0.xlsx
99299,F24D1CN9(g),MG,BioFoodComp4.0.xlsx
99300,F24D1N11(g),MG,BioFoodComp4.0.xlsx
99301,F24D1N9(g),MG,BioFoodComp4.0.xlsx
99302,F24D6N3(g),MG,BioFoodComp4.0.xlsx
99303,F26D0(g),MG,BioFoodComp4.0.xlsx
99304,F30D0(g),MG,BioFoodComp4.0.xlsx
99305,F4D0(g),MG,BioFoodComp4.0.xlsx
99306,F6D0(g),MG,BioFoodComp4.0.xlsx
99307,F8D0(g),MG,BioFoodComp4.0.xlsx
99308,FAESS(g),MG,BioFoodComp4.0.xlsx
99309,FAFRE(g),MG,BioFoodComp4.0.xlsx
99310,FAMS(g),MG,BioFoodComp4.0.xlsx
99311,FAN3(g),MG,BioFoodComp4.0.xlsx
99312,FAN6(g),MG,BioFoodComp4.0.xlsx
99313,FAN9(g),MG,BioFoodComp4.0.xlsx
99314,FAPU(g),MG,BioFoodComp4.0.xlsx
99315,FAPUCN3(g),MG,BioFoodComp4.0.xlsx
99316,FAPUCN6(g),MG,BioFoodComp4.0.xlsx
99317,FAPUCN9(g),MG,BioFoodComp4.0.xlsx
99318,FAPULCCN3(g),MG,BioFoodComp4.0.xlsx
99319,FAPUN3(g),MG,BioFoodComp4.0.xlsx
99320,FAPUN6(g),MG,BioFoodComp4.0.xlsx
99321,FAPUN9(g),MG,BioFoodComp4.0.xlsx
99322,FAR(g),MG,BioFoodComp4.0.xlsx
99323,FASAT(g),MG,BioFoodComp4.0.xlsx
99324,FAUN(g),MG,BioFoodComp4.0.xlsx
99325,FD(mcg),MG,BioFoodComp4.0.xlsx
99326,FE(mg),MG,BioFoodComp4.0.xlsx
99327,FERAC(mg),MG,BioFoodComp4.0.xlsx
99328,FERAC(mg).1,MG,BioFoodComp4.0.xlsx
99329,FERAC(mg).2,MG,BioFoodComp4.0.xlsx
99330,FIB-(g),MG,BioFoodComp4.0.xlsx
99331,FIBAD(g),MG,BioFoodComp4.0.xlsx
99332,FIBC(g),MG,BioFoodComp4.0.xlsx
99333,FIBGLCSINS(g),MG,BioFoodComp4.0.xlsx
99334,FIBGLCSSOL(g),MG,BioFoodComp4.0.xlsx
99335,FIBINS(g),MG,BioFoodComp4.0.xlsx
99336,FIBND(g),MG,BioFoodComp4.0.xlsx
99337,FIBPEN(g),MG,BioFoodComp4.0.xlsx
99338,FIBSOL(g),MG,BioFoodComp4.0.xlsx
99339,FIBTG(g),MG,BioFoodComp4.0.xlsx
99340,FIBTGLCS(g),MG,BioFoodComp4.0.xlsx
99341,FIBTS(g),MG,BioFoodComp4.0.xlsx
99342,FIBTS(g) Southgate,MG,BioFoodComp4.0.xlsx
99343,FLAVD(mcg),MG,BioFoodComp4.0.xlsx
99344,FLAVO(mg),MG,BioFoodComp4.0.xlsx
99345,FOL(mcg),MG,BioFoodComp4.0.xlsx
99346,FOL-(mcg),MG,BioFoodComp4.0.xlsx
99347,FOLAC(mcg),MG,BioFoodComp4.0.xlsx
99348,FOLACN(mcg),MG,BioFoodComp4.0.xlsx
99349,FOLDFE(mcg),MG,BioFoodComp4.0.xlsx
99350,FOLFD(mcg),MG,BioFoodComp4.0.xlsx
99351,FOLFM10(mcg),MG,BioFoodComp4.0.xlsx
99352,FOLFRE(mcg),MG,BioFoodComp4.0.xlsx
99353,FOLH2FM10(mcg),MG,BioFoodComp4.0.xlsx
99354,FOLH4(mcg),MG,BioFoodComp4.0.xlsx
99355,FOLH4FM5(mcg),MG,BioFoodComp4.0.xlsx
99356,FOLH4ME5(mcg),MG,BioFoodComp4.0.xlsx
99357,FOLH4MTN5(mcg),MG,BioFoodComp4.0.xlsx
99358,FRUOLSAC(g),MG,BioFoodComp4.0.xlsx
99359,FRUS(g),MG,BioFoodComp4.0.xlsx
99360,FRUSM(g),MG,BioFoodComp4.0.xlsx
99361,FUCOS(g),MG,BioFoodComp4.0.xlsx
99362,FUMAC(mg),MG,BioFoodComp4.0.xlsx
99363,Flavanols/flavans,MG,BioFoodComp4.0.xlsx
99364,GABA(mg),MG,BioFoodComp4.0.xlsx
99365,GALAAC(mg),MG,BioFoodComp4.0.xlsx
99366,GALF(b),MG,BioFoodComp4.0.xlsx
99367,GALFB(g),MG,BioFoodComp4.0.xlsx
99368,GALLAC(mg),MG,BioFoodComp4.0.xlsx
99369,GALS(g),MG,BioFoodComp4.0.xlsx
99370,GALSD(g),MG,BioFoodComp4.0.xlsx
99371,GALSM(g),MG,BioFoodComp4.0.xlsx
99372,GLN(mg),MG,BioFoodComp4.0.xlsx
99373,GLN_A_GLU(mg),MG,BioFoodComp4.0.xlsx
99374,GLOB(mg),MG,BioFoodComp4.0.xlsx
99375,GLU(mg),MG,BioFoodComp4.0.xlsx
99376,GLUCNB(g),MG,BioFoodComp4.0.xlsx
99377,GLUFB(g),MG,BioFoodComp4.0.xlsx
99378,GLUS(g),MG,BioFoodComp4.0.xlsx
99379,GLUSM(g),MG,BioFoodComp4.0.xlsx
99380,GLU_A_HIS(mg),MG,BioFoodComp4.0.xlsx
99381,GLY(mg),MG,BioFoodComp4.0.xlsx
99382,GLYALK(mg),MG,BioFoodComp4.0.xlsx
99383,GLYC(g),MG,BioFoodComp4.0.xlsx
99384,GLYLIP(g),MG,BioFoodComp4.0.xlsx
99385,GLY_A_SER(mg),MG,BioFoodComp4.0.xlsx
99386,HEMCEL(g),MG,BioFoodComp4.0.xlsx
99387,HESPD(mcg),MG,BioFoodComp4.0.xlsx
99388,HG(mcg),MG,BioFoodComp4.0.xlsx
99389,HIS(mg),MG,BioFoodComp4.0.xlsx
99390,HRR,MG,BioFoodComp4.0.xlsx
99391,HYL(mg),MG,BioFoodComp4.0.xlsx
99392,HYP(mg),MG,BioFoodComp4.0.xlsx
99393,ILE(mg),MG,BioFoodComp4.0.xlsx
99394,INULN(g),MG,BioFoodComp4.0.xlsx
99395,IP3(mg),MG,BioFoodComp4.0.xlsx
99396,IP4(mg),MG,BioFoodComp4.0.xlsx
99397,IP4_A_IP5_A_IP6(mg),MG,BioFoodComp4.0.xlsx
99398,IP5(mg),MG,BioFoodComp4.0.xlsx
99399,IP5_A_IP6 (mg),MG,BioFoodComp4.0.xlsx
99400,IP5_A_IP6(mg),MG,BioFoodComp4.0.xlsx
99401,IP6(mg),MG,BioFoodComp4.0.xlsx
99402,ISOHA(mcg),MG,BioFoodComp4.0.xlsx
99403,ISSCAAP,MG,BioFoodComp4.0.xlsx
99404,K(mg),MG,BioFoodComp4.0.xlsx
99405,KAEMF(mcg),MG,BioFoodComp4.0.xlsx
99406,LACFE(mg),MG,BioFoodComp4.0.xlsx
99407,LACS(g),MG,BioFoodComp4.0.xlsx
99408,LACSM(g),MG,BioFoodComp4.0.xlsx
99409,LEU(mg),MG,BioFoodComp4.0.xlsx
99410,LI(mcg),MG,BioFoodComp4.0.xlsx
99411,LIGN(g),MG,BioFoodComp4.0.xlsx
99412,LUTEOL(mcg),MG,BioFoodComp4.0.xlsx
99413,LUTN(mcg),MG,BioFoodComp4.0.xlsx
99414,LUTNZEA(mcg),MG,BioFoodComp4.0.xlsx
99415,LUTN_A_ZEA(mcg),MG,BioFoodComp4.0.xlsx
99416,LYCPN(mcg),MG,BioFoodComp4.0.xlsx
99417,LYS(mg),MG,BioFoodComp4.0.xlsx
99418,Latest Revision in Version,MG,BioFoodComp4.0.xlsx
99419,Latest revision in version,MG,BioFoodComp4.0.xlsx
99420,MALAC(mg),MG,BioFoodComp4.0.xlsx
99421,MALS(g),MG,BioFoodComp4.0.xlsx
99422,MALSM(g),MG,BioFoodComp4.0.xlsx
99423,MANS(g),MG,BioFoodComp4.0.xlsx
99424,MANTL(mg),MG,BioFoodComp4.0.xlsx
99425,MET(mg),MG,BioFoodComp4.0.xlsx
99426,MG(mg),MG,BioFoodComp4.0.xlsx
99427,MGLY(g),MG,BioFoodComp4.0.xlsx
99428,MJP,MG,BioFoodComp4.0.xlsx
99429,MN(mg),MG,BioFoodComp4.0.xlsx
99430,MO(mcg),MG,BioFoodComp4.0.xlsx
99431,MUCIL(g),MG,BioFoodComp4.0.xlsx
99432,MYRIC(mcg),MG,BioFoodComp4.0.xlsx
99433,Minerals and trace elements,MG,BioFoodComp4.0.xlsx
99434,Miscellaneous,MG,BioFoodComp4.0.xlsx
99435,NA(mg),MG,BioFoodComp4.0.xlsx
99436,NACL(mg),MG,BioFoodComp4.0.xlsx
99437,NARING(mcg),MG,BioFoodComp4.0.xlsx
99438,NEOX(mcg),MG,BioFoodComp4.0.xlsx
99439,NEUROSP(mcg),MG,BioFoodComp4.0.xlsx
99440,NFIBAD(g),MG,BioFoodComp4.0.xlsx
99441,NI(mcg),MG,BioFoodComp4.0.xlsx
99442,NIA(mg),MG,BioFoodComp4.0.xlsx
99443,NIA-(mg),MG,BioFoodComp4.0.xlsx
99444,NIAEQ(mg),MG,BioFoodComp4.0.xlsx
99445,NIATRP(mg),MG,BioFoodComp4.0.xlsx
99446,NITRA(mg),MG,BioFoodComp4.0.xlsx
99447,NITRI(mg),MG,BioFoodComp4.0.xlsx
99448,NNC(g),MG,BioFoodComp4.0.xlsx
99449,NNP(mg),MG,BioFoodComp4.0.xlsx
99450,NPRO(g),MG,BioFoodComp4.0.xlsx
99451,NSP(g),MG,BioFoodComp4.0.xlsx
