generic_nutrient_id	generic_name	generic_compact	specific_nutrient_id	specific_name	specific_compact	specific_source	rule
260230	Carbohydrate, by difference	carbohydrate by difference	1071	Resistant starch	resistant starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1073	Arabinose	arabinose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1074	Xylose	xylose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1075	Galactose	galactose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1076	Raffinose	raffinose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1077	Stachyose	stachyose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1078	Xylitol	xylitol	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1081	Ribose	ribose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1399	Mannose	mannose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1400	Triose	triose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1401	Tetrose	tetrose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1403	Inulin	inulin	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	2063	Verbascose	verbascose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	96415	Dietary fibre and starch	dietary fibre and starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	97211	STARCH-	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	97212	Starch/Glycogen	starch glycogen	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	220013	STARCH-(g)	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	220107	STARCH-(g)	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	240003	(+)-Catechin 3-O-glucose	catechin 3 o glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240144	Caffeoyl glucose	caffeoyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240157	Cinnamoyl glucose	cinnamoyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240229	Feruloyl glucose	feruloyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240238	Galloyl glucose	galloyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240499	p-Coumaroyl glucose	p coumaroyl glucose	existing	carb_to_sugars
97230	SUGAR-	sugar	260230	Carbohydrate, by difference	carbohydrate by difference	existing	carb_alias
260230	Carbohydrate, by difference	carbohydrate by difference	1009	Starch	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1010	Sucrose	sucrose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1011	Glucose	glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1012	Fructose	fructose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1013	Lactose	lactose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1014	Maltose	maltose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1015	Amylose	amylose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1016	Amylopectin	amylopectin	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1017	Pectin	pectin	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1019	Pentosan	pentosan	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1020	Pentoses	pentoses	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1021	Hemicellulose	hemicellulose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1022	Cellulose	cellulose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1055	Mannitol	mannitol	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1056	Sorbitol	sorbitol	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1065	Glycogen	glycogen	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1071	Resistant starch	resistant starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1073	Arabinose	arabinose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1074	Xylose	xylose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1075	Galactose	galactose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1076	Raffinose	raffinose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1077	Stachyose	stachyose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1078	Xylitol	xylitol	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1081	Ribose	ribose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1399	Mannose	mannose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1400	Triose	triose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1401	Tetrose	tetrose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1403	Inulin	inulin	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	2063	Verbascose	verbascose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	96415	Dietary fibre and starch	dietary fibre and starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	97211	STARCH-	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	97212	Starch/Glycogen	starch glycogen	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	220013	STARCH-(g)	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	220107	STARCH-(g)	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	240003	(+)-Catechin 3-O-glucose	catechin 3 o glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240144	Caffeoyl glucose	caffeoyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240157	Cinnamoyl glucose	cinnamoyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240229	Feruloyl glucose	feruloyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240238	Galloyl glucose	galloyl glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	240499	p-Coumaroyl glucose	p coumaroyl glucose	existing	carb_to_sugars
220012	SUGAR-(g)	sugar	260230	Carbohydrate, by difference	carbohydrate by difference	existing	carb_alias
260230	Carbohydrate, by difference	carbohydrate by difference	1009	Starch	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1010	Sucrose	sucrose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1011	Glucose	glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1012	Fructose	fructose	existing	carb_to_sugars
