nutrient_id	name	normalized_norm	normalized_norm_no_commas	normalized_norm_no_paren	normalized_norm_compact	is_added_by_expansion	parent_generic_id	parent_generic_compact	rule
240242	Gentisic acid	gentisic acid	gentisic acid	gentisic acid	gentisic acid	0	1025	organic acids	organic_acids_to_specific_existing
240243	Geraldone	geraldone	geraldone	geraldone	geraldone	0			
240244	Glycitein	glycitein	glycitein	glycitein	glycitein	0			
240245	Glycitin	glycitin	glycitin	glycitin	glycitin	0			
240246	Guaiacol	guaiacol	guaiacol	guaiacol	guaiacol	0			
240247	Hesperetin	hesperetin	hesperetin	hesperetin	hesperetin	0			
240248	Hesperidin	hesperidin	hesperidin	hesperidin	hesperidin	0			
240249	Hispidulin	hispidulin	hispidulin	hispidulin	hispidulin	0			
240250	Homovanillic acid	homovanillic acid	homovanillic acid	homovanillic acid	homovanillic acid	0	1025	organic acids	organic_acids_to_specific_existing
240251	Homoveratric acid	homoveratric acid	homoveratric acid	homoveratric acid	homoveratric acid	0	1025	organic acids	organic_acids_to_specific_existing
240252	Hydroxycaffeic acid	hydroxycaffeic acid	hydroxycaffeic acid	hydroxycaffeic acid	hydroxycaffeic acid	0	1025	organic acids	organic_acids_to_specific_existing
240253	Hydroxytyrosol	hydroxytyrosol	hydroxytyrosol	hydroxytyrosol	hydroxytyrosol	0			
240254	Hydroxytyrosol 4-O-glucoside	hydroxytyrosol 4-o-glucoside	hydroxytyrosol 4-o-glucoside	hydroxytyrosol 4-o-glucoside	hydroxytyrosol 4 o glucoside	0			
240255	Isoferulic acid	isoferulic acid	isoferulic acid	isoferulic acid	isoferulic acid	0	1025	organic acids	organic_acids_to_specific_existing
240256	Isohydroxymatairesinol	isohydroxymatairesinol	isohydroxymatairesinol	isohydroxymatairesinol	isohydroxymatairesinol	0			
240257	Isolariciresinol	isolariciresinol	isolariciresinol	isolariciresinol	isolariciresinol	0			
240258	Isopimpinellin	isopimpinellin	isopimpinellin	isopimpinellin	isopimpinellin	0			
240259	Isorhamnetin	isorhamnetin	isorhamnetin	isorhamnetin	isorhamnetin	0			
240260	Isorhamnetin 3-O-galactoside	isorhamnetin 3-o-galactoside	isorhamnetin 3-o-galactoside	isorhamnetin 3-o-galactoside	isorhamnetin 3 o galactoside	0			
240261	Isorhamnetin 3-O-glucoside	isorhamnetin 3-o-glucoside	isorhamnetin 3-o-glucoside	isorhamnetin 3-o-glucoside	isorhamnetin 3 o glucoside	0			
240262	Isorhamnetin 3-O-glucoside 7-O-rhamnoside	isorhamnetin 3-o-glucoside 7-o-rhamnoside	isorhamnetin 3-o-glucoside 7-o-rhamnoside	isorhamnetin 3-o-glucoside 7-o-rhamnoside	isorhamnetin 3 o glucoside 7 o rhamnoside	0			
240263	Isorhamnetin 3-O-glucuronide	isorhamnetin 3-o-glucuronide	isorhamnetin 3-o-glucuronide	isorhamnetin 3-o-glucuronide	isorhamnetin 3 o glucuronide	0			
240264	Isorhamnetin 3-O-rutinoside	isorhamnetin 3-o-rutinoside	isorhamnetin 3-o-rutinoside	isorhamnetin 3-o-rutinoside	isorhamnetin 3 o rutinoside	0			
240265	Isorhamnetin 4'-O-glucoside	isorhamnetin 4'-o-glucoside	isorhamnetin 4'-o-glucoside	isorhamnetin 4'-o-glucoside	isorhamnetin 4 o glucoside	0			
240266	Isorhamnetin 7-O-rhamnoside	isorhamnetin 7-o-rhamnoside	isorhamnetin 7-o-rhamnoside	isorhamnetin 7-o-rhamnoside	isorhamnetin 7 o rhamnoside	0			
240267	Isorhoifolin	isorhoifolin	isorhoifolin	isorhoifolin	isorhoifolin	0			
240268	Isoxanthohumol	isoxanthohumol	isoxanthohumol	isoxanthohumol	isoxanthohumol	0			
240269	Jaceidin 4'-O-glucuronide	jaceidin 4'-o-glucuronide	jaceidin 4'-o-glucuronide	jaceidin 4'-o-glucuronide	jaceidin 4 o glucuronide	0			
240270	Jaceosidin	jaceosidin	jaceosidin	jaceosidin	jaceosidin	0			
240271	Juglone	juglone	juglone	juglone	juglone	0			
240272	Kaempferide	kaempferide	kaempferide	kaempferide	kaempferide	0			
240273	Kaempferol	kaempferol	kaempferol	kaempferol	kaempferol	0			
240274	Kaempferol 3,7,4'-O-triglucoside	kaempferol 3, 7, 4'-o-triglucoside	kaempferol 3 7 4'-o-triglucoside	kaempferol 3, 7, 4'-o-triglucoside	kaempferol 3 7 4 o triglucoside	0			
240275	Kaempferol 3,7-O-diglucoside	kaempferol 3, 7-o-diglucoside	kaempferol 3 7-o-diglucoside	kaempferol 3, 7-o-diglucoside	kaempferol 3 7 o diglucoside	0			
240276	Kaempferol 3-O-(2''-rhamnosyl-6''-acetyl-galactoside) 7-O-rhamnoside	kaempferol 3-o-(2''-rhamnosyl-6''-acetyl-galactoside) 7-o-rhamnoside	kaempferol 3-o-(2''-rhamnosyl-6''-acetyl-galactoside) 7-o-rhamnoside	kaempferol 3-o-7-o-rhamnoside	kaempferol 3 o 2 rhamnosyl 6 acetyl galactoside 7 o rhamnoside	0			
240277	Kaempferol 3-O-(2''-rhamnosyl-galactoside) 7-O-rhamnoside	kaempferol 3-o-(2''-rhamnosyl-galactoside) 7-o-rhamnoside	kaempferol 3-o-(2''-rhamnosyl-galactoside) 7-o-rhamnoside	kaempferol 3-o-7-o-rhamnoside	kaempferol 3 o 2 rhamnosyl galactoside 7 o rhamnoside	0			
240278	"Kaempferol 3-O-(6""-malonyl-glucoside)"	"kaempferol 3-o-(6""-malonyl-glucoside)"	"kaempferol 3-o-(6""-malonyl-glucoside)"	kaempferol 3-o-	kaempferol 3 o 6 malonyl glucoside	0			
